id,bus_code,direction,name,deviation_seconds,updated_at,scheduled_timestamp,our_snapshot_time
c36a991e-02a2-4da2-b7b0-6a0bf3f1979f,N758,Barcelona (Bus Terminal Nord),Florence - Barcelona,0.0,2026-05-20T18:11:54Z,2026-05-20T19:25:00Z,2026-05-20T20:18:21
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,,,2026-05-20T19:30:00Z,2026-05-20T20:18:21
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,14.0,2026-05-20T18:18:53Z,2026-05-20T21:05:00Z,2026-05-20T20:18:21
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T20:18:21
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T20:18:21
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T18:13:53Z,2026-05-20T22:30:00Z,2026-05-20T20:18:21
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T20:18:21
3b84609a-23d0-43f7-bf98-ec12ff879925,N580,Lyon (Gerland Bus Station),Salerno - Lyon,0.0,2026-05-20T09:50:14Z,2026-05-21T00:10:00Z,2026-05-20T20:18:21
fb971887-fb5f-4f70-9ee3-51f98e2df1f0,N177,Düsseldorf central bus station,Düsseldorf - Genoa,0.0,2026-05-20T18:30:32Z,2026-05-20T19:30:00Z,2026-05-20T20:28:22
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T18:30:54Z,2026-05-20T21:05:00Z,2026-05-20T20:28:22
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T20:28:22
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T20:28:22
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T18:13:53Z,2026-05-20T22:30:00Z,2026-05-20T20:28:22
444fe207-0c8d-44c5-8dc2-c9371a6cfbe2,N1503,Naples (FS Park Stazione Centrale),Paris - Turin - Naples,0.0,2026-05-20T08:44:08Z,2026-05-20T23:05:00Z,2026-05-20T20:28:22
3b84609a-23d0-43f7-bf98-ec12ff879925,N580,Lyon (Gerland Bus Station),Salerno - Lyon,0.0,2026-05-20T09:50:14Z,2026-05-21T00:10:00Z,2026-05-20T20:28:22
0aa24a02-20c3-4546-a0da-7204720f792e,N728,Munich central bus station,Munich/Genoa - Barcelona,0.0,2026-05-20T18:40:22Z,2026-05-20T21:05:00Z,2026-05-20T20:38:22
3e59c7ef-b056-405d-a477-9fe1df21eeb9,N504,Perugia (Piazza Partigiani),Geneva - Turin - Perugia,0.0,2026-05-20T16:09:23Z,2026-05-20T21:20:00Z,2026-05-20T20:38:22
7208b413-3c32-4f06-b37f-9ddcaf340790,N503,Rome Tiburtina Bus station,Turin - Genoa - Rome,,,2026-05-20T21:55:00Z,2026-05-20T20:38:22
263b8f42-2e96-46c4-a3c0-85574aac8053,N482,Zagreb (bus station),Marseille - Zagreb,0.0,2026-05-20T18:34:23Z,2026-05-20T22:30:00Z,2026-05-20T20:38:22
